Site_Number,Site_Name,Gridreference,Easting,Northing,Length,Country,N_sections,N_yrs_surveyed,First_year_surveyed,Last_year_surveyed,Survey_type,lat,lon
1124,Brigsteer Park Wood (NT),SD486880,348600,488000,3000.0,England,6.0,26,1992,2023,UKBMS,54.285033524453624,-2.791029390612308
1125,Dick Fell,SD473797,347300,479700,1295.0,England,7.0,24,1996,2023,UKBMS,54.21031392607445,-2.80953352827201
1126,Eaves Wood NT,SD465763,346500,476300,4500.0,England,11.0,32,1991,2023,UKBMS,54.179677004899,-2.821192199677143
1127,Flash Bank Wood NT,SD489880,348900,488000,950.0,England,5.0,25,1992,2023,UKBMS,54.2850636682976,-2.786421734376585
1134,Waitby Greenriggs,NY760083,376000,508300,1400.0,England,14.0,16,1998,2023,UKBMS,54.46949441827968,-2.3718140912557484
1141,Field of Dreams,SD473750,347300,475000,1030.0,England,9.0,22,2002,2023,UKBMS,54.16807752331237,-2.8087084346278606
1142,Holme Park Fell,SD539792,353900,479200,3315.0,England,10.0,21,2002,2022,UKBMS,54.20645814385291,-2.7082697621167617
1143,Yealand Hall Allotment,SD490764,349000,476400,4000.0,England,14.0,22,2002,2023,UKBMS,54.18083076380236,-2.782909728627667
1145,Coldwell Parrock,SD480778,348000,477800,955.0,England,3.0,22,2002,2023,UKBMS,54.19331127358368,-2.798472395883291
1146,Lancelot Clark Storth,SD546772,354600,477200,2285.0,England,15.0,26,1995,2023,UKBMS,54.18854739453747,-2.697236032006759
1147,Gait Barrows NNR (Warden's),SD483774,348300,477400,1900.0,England,15.0,31,1993,2023,UKBMS,54.18974706789026,-2.7938060540923133
1149,Teddy Heights,SD475792,347500,479200,2200.0,England,6.0,21,1998,2023,UKBMS,54.20584127067656,-2.8063797743436836
1151,Burton Fell,SD545778,354500,477800,2290.0,England,10.0,20,2002,2023,UKBMS,54.193930528681896,-2.6988593531934693
1153,Dobshall Wood,SD450780,345000,478000,1095.0,England,7.0,17,2006,2023,UKBMS,54.194794963698676,-2.844482975803334
1157,Witherslack Hall Woods,SD435868,343500,486800,2233.0,England,10.0,14,2007,2023,UKBMS,54.27371071470372,-2.8691311478178583
1163,Trowbarrow Quarry - New (2010),SD480758,348000,475800,2092.0,England,12.0,14,2010,2023,UKBMS,54.17533827393535,-2.7981260482659254
1164,Middlebarrow Wood,SD464769,346400,476900,2890.0,England,13.0,14,2010,2023,UKBMS,54.18505841647041,-2.822831246641536
1166,Warton Crag LWT2,SD491731,349100,473100,4020.0,England,15.0,8,2011,2023,UKBMS,54.1511850520164,-2.7808189160720906
1168,Ainsdale Sand Dunes NNR,SD288106,328800,410600,5325.0,England,13.0,11,2013,2023,UKBMS,53.587128251838955,-3.077045877082456
1169,Myers Allotment Two,SD474750,347400,475000,850.0,England,10.0,11,2013,2023,UKBMS,54.16808780105092,-2.807176891862029
1171,Hartsop Dodd,NY413115,341300,511500,1540.0,England,10.0,10,2013,2023,UKBMS,54.49541539669804,-2.9077970120313297
1174,Smardale Gill Extension,NY734081,373400,508100,1000.0,England,2.0,10,2014,2023,UKBMS,54.46756693466919,-2.4119112509452476
1176,Halecat,SD431833,343100,483300,3000.0,England,12.0,10,2014,2023,UKBMS,54.24221452955604,-2.874606796502142
1179,Heysham Nature Reserve,SD406600,340600,460000,1000.0,England,10.0,7,2015,2023,UKBMS,54.032549072289385,-2.9083682618117557
1184,Crosby Coastguard Station,SD298008,329800,400800,1700.0,England,9.0,7,2017,2023,UKBMS,53.49919268309868,-3.0597396655668057
1185,Brockholes NR,SD587307,358700,430700,1739.0,England,14.0,6,2017,2023,UKBMS,53.77099301769933,-2.6280888838048457
1187,Dove Stone East,SE019037,401900,403700,3343.0,England,10.0,4,2017,2022,UKBMS,53.5299557342139,-1.9728072082359625
1188,Dove Stone West,SE019047,401900,404700,2659.0,England,6.0,4,2017,2022,UKBMS,53.53894408646909,-1.9728015047407392
1190,St Annes LNR,SD310306,331000,430600,2080.0,England,14.0,6,2018,2023,UKBMS,53.767155583328545,-3.0482724346237915
1191,Coldwell Meadows,SD348478,334800,447800,2730.0,England,11.0,2,2019,2022,UKBMS,53.92221425635027,-2.9942897221881353
1193,Ainsdale NNR specific species,SD302112,330200,411200,1320.0,England,4.0,5,2019,2023,UKBMS,53.592708825687424,-3.0560354209605283
1195,Cabin Hill / Ravenmeols,SD283054,328300,405400,2328.0,England,8.0,3,2021,2023,UKBMS,53.54032918331303,-3.083402391703984
1197,Duddon Mosses National Nature Reserve,SD223851,322300,485100,1101.0,England,3.0,3,2021,2023,UKBMS,54.25564956406608,-3.194174981772645
1198,Heathwaite Moss,SD242876,324200,487600,463.0,England,1.0,3,2021,2023,UKBMS,54.27839840908128,-3.165651062191421
1199,Warton Crag LNR (Upper),SD493727,349300,472700,1737.0,England,7.0,2,2022,2023,UKBMS,54.14761023589988,-2.7776896577585037
1208,Dunstable Downs,TL007201,500700,220100,2000.0,England,9.0,20,1993,2023,UKBMS,51.87039496976453,-0.5387820527143232
1209,Hill Rise,TL046510,504600,251000,400.0,England,1.0,18,1994,2023,UKBMS,52.147392006597116,-0.4727321440405293
1210,Priory Country Park,TL075493,507500,249300,2000.0,England,5.0,26,1993,2023,UKBMS,52.13155773339041,-0.4309038729321837
1220,Sharpenhoe Clappers,TL066297,506600,229700,2300.0,England,11.0,32,1989,2023,UKBMS,51.95558035823456,-0.45015232901078966
1221,Whipsnade Downs,TL000185,500000,218500,2500.0,England,11.0,28,1987,2023,UKBMS,51.85613991927209,-0.5494083393281445
1224,Old Warden Tunnel,TL112447,511200,244700,1188.0,England,8.0,18,2006,2023,UKBMS,52.08948659887232,-0.3783726934034297
1226,Bedford Old Cemetery,TL050512,505000,251200,1940.0,England,5.0,7,2006,2022,UKBMS,52.14911364368643,-0.46682684038959343
1229,Knocking hoe,TL131307,513100,230700,1508.0,England,8.0,9,2013,2023,UKBMS,51.96328490317051,-0.35527552579941685
1231,Ring Haw,TL053973,505300,297300,2325.0,England,6.0,10,2014,2023,UKBMS,52.56335166439741,-0.44799766486710974
1232,Mowsbury Hillfort,TL065532,506500,253200,1200.0,England,9.0,10,2014,2023,UKBMS,52.16680102575986,-0.4442862631501703
1234,Whitestones Twywell Hills & Dales,SP939775,493900,277500,1362.0,England,10.0,7,2016,2023,UKBMS,52.3874864116531,-0.6216905275718851
1235,Bucknell Woods,SP658448,465800,244800,1000.0,England,10.0,8,2016,2023,UKBMS,52.09763646657617,-1.0408627745525962
1239,Wellingborough,SP903674,490300,267400,1300.0,England,5.0,5,2017,2022,UKBMS,52.29731470805511,-0.6772835477665017
1240,Nene Wetlands Nature Reserve,SP939679,493900,267900,3410.0,England,4.0,5,2018,2023,UKBMS,52.30120576135505,-0.6243709320602944
1243,Salcey Forest North,SP809520,480900,252000,3000.0,England,10.0,3,2020,2022,UKBMS,52.160355726561086,-0.8187682110886407
1244,Salcey Forest South,SP805505,480500,250500,2560.0,England,10.0,3,2020,2022,UKBMS,52.14693126658418,-0.8249693316787571
1248,Stanwick Lakes,SP967714,496700,271400,2720.0,England,10.0,2,2022,2023,UKBMS,52.33217666379909,-0.5823173671673769
1249,Fermyn Woods Country Park,SP954850,495400,285000,1519.0,England,9.0,2,2022,2023,UKBMS,52.45463264030711,-0.5975199991426936
1250,Old Sulehay including Stonepit Quarry,TL057979,505700,297900,1947.0,England,6.0,2,2022,2023,UKBMS,52.56866609891141,-0.4419079776511137
1252,RSPB The Lodge,TL191484,519100,248400,2665.0,England,7.0,2,2022,2023,UKBMS,52.12109442790026,-0.26182978273484464
1253,Weldon Woodland Park,SP922891,492200,289100,2232.0,England,10.0,2,2022,2023,UKBMS,52.492029973551084,-0.6434641200149933
