name|grid|country|nyrs|first|last|type|lat|lon|x|y
Castle Hill|TQ371068|England|45|1978|2023|UKBMS|50.8445|-0.0540|7.504|0.361
Gait Barrows|SD478772|England|46|1978|2023|UKBMS|54.1879|-2.8014|-1.494|-0.751
South Stack Cliffs|SH210818|Wales|7|1979|2023|UKBMS|53.3028|-4.6877|1.019|3.106
South Stack Ranges|SH216803|Wales|24|1979|2023|UKBMS|53.2896|-4.6779|1.385|2.487
Pewsey Down|SU116636|England|43|1979|2023|UKBMS|51.3713|-1.8347|4.785|3.940
Ampfield Wood|SU411237|England|45|1979|2023|UKBMS|51.0112|-1.4155|-2.430|0.791
Derbyshire Dales|SK180659|England|45|1979|2023|UKBMS|53.1899|-1.7321|1.451|0.442
Alresford|SU575335|England|45|1979|2023|UKBMS|51.0979|-1.1802|10.522|1.334
West Dean Wood|SU846155|England|41|1979|2022|UKBMS|50.9328|-0.7975|-0.120|-1.826
Murlough|J410350|Northern Ireland|45|1979|2023|UKBMS|54.2445|-5.8378|1.267|2.632
Martin Down|SU056183|England|45|1979|2023|UKBMS|50.9641|-1.9216|3.195|3.138
Wyre Forest|SO755766|England|45|1979|2023|UKBMS|52.3869|-2.3614|-0.611|-2.010
Coombes Valley|SK006529|England|26|1979|2023|UKBMS|53.0733|-1.9925|-0.712|-3.412
Lullington Heath|TQ545017|England|44|1979|2023|UKBMS|50.7943|0.1908|0.523|1.603
Pickett Wood|ST876544|England|43|1981|2023|UKBMS|51.2886|-2.1792|-0.243|-3.356
Barnack Hills & Holes|TF076045|England|40|1981|2023|UKBMS|52.6276|-0.4117|2.892|3.100
RSPB Blean Woods|TR112601|England|42|1982|2023|UKBMS|51.3008|1.0283|0.527|-3.611
St Osyth|TM117176|England|40|1983|2023|UKBMS|51.8169|1.0701|4.250|3.122
Luckett Wood|SX391726|England|43|1980|2023|UKBMS|50.5310|-4.2716|0.516|-1.007
Stour Wood|TM191313|England|40|1983|2023|UKBMS|51.9370|1.1859|-0.531|-3.388
Oakley Woods|SP615114|England|35|1985|2023|UKBMS|51.7979|-1.1096|-0.291|2.824
Taynish|NR731843|Scotland|35|1985|2023|UKBMS|55.9978|-5.6403|0.761|-0.760
Whitecross Green Wood|SP602144|England|37|1986|2022|UKBMS|51.8250|-1.1279|1.833|-2.039
Ham Street Wood|TR006342|England|28|1986|2023|UKBMS|51.0721|0.8620|-0.236|-3.440
Folkestone Escarpment|TR217381|England|35|1987|2023|UKBMS|51.0993|1.1651|5.001|3.343
Smardale Gill|NY725066|England|29|1989|2023|UKBMS|54.4540|-2.4257|1.354|-1.117
Mottistone Down|SZ416845|England|34|1989|2023|UKBMS|50.6587|-1.4128|6.652|3.443
Church Place|SU342099|England|33|1989|2023|UKBMS|50.8876|-1.5152|0.731|-3.170
Pitts Wood|SU200149|England|13|1989|2023|UKBMS|50.9332|-1.7168|1.002|-0.795
Tadnoll|SY791875|England|35|1989|2023|UKBMS|50.6868|-2.2972|7.043|3.453
Bovey Valley|SX783797|England|34|1989|2023|UKBMS|50.6043|-3.7211|0.421|-2.214
East Blean Woods|TR193643|England|29|1989|2023|UKBMS|51.3355|1.1469|-1.193|-2.660
Somerford Common|SU028864|England|30|1989|2023|UKBMS|51.5765|-1.9610|-1.180|-1.780
Blean Woods|TR114608|England|32|1991|2023|UKBMS|51.3070|1.0316|0.053|-3.945
Loch Fleet|NH814964|Scotland|27|1993|2023|UKBMS|57.9411|-4.0050|-1.167|2.359
St Cyrus (new)|NO749640|Scotland|37|1983|2023|UKBMS|56.7669|-2.4122|2.274|3.230
Brodick Country Park|NS019382|Scotland|26|1995|2023|UKBMS|55.5970|-5.1457|4.055|0.979
Shabbington Wood (new)|SP611102|England|28|1995|2023|UKBMS|51.7871|-1.1156|1.458|-2.696
Denge Wood|TR106513|England|28|1993|2023|UKBMS|51.2220|1.0145|0.831|1.891
Fontmell Down (new)|ST885180|England|44|1980|2023|UKBMS|50.9613|-2.1651|1.947|1.040
Mabie Forest|NX927703|Scotland|24|1995|2023|UKBMS|55.0156|-3.6796|0.290|-0.745
Bishop Middleham Quarry|NZ332327|England|24|1997|2022|UKBMS|54.6883|-1.4865|1.229|3.345
Blackford Hill|NT254703|Scotland|19|1999|2023|UKBMS|55.9200|-3.1952|1.344|-1.245
Sands of Forvie (new)|NK010260|Scotland|25|1999|2023|UKBMS|57.3245|-1.9850|1.194|2.844
Great Orme|SH764827|Wales|24|1999|2023|UKBMS|53.3267|-3.8573|0.928|3.039
Grange Farm (North) A|TL330627|England|23|2000|2023|UKBMS|52.2464|-0.0533|6.641|1.828
Grange Farm (South)|TL332623|England|23|2000|2023|UKBMS|52.2428|-0.0506|6.893|0.345
St. Abb's Head|NT913687|Scotland|24|1999|2023|UKBMS|55.9113|-2.1407|-1.721|4.457
Lochaber|NX922699|Scotland|12|2000|2023|UKBMS|55.0119|-3.6873|-1.890|0.011
Cheriton Hill|TR200381|England|24|1992|2023|UKBMS|51.1000|1.1409|6.153|3.857
Grange Farm (North) B|TL331620|England|23|2000|2023|UKBMS|52.2401|-0.0521|10.584|1.794
Glasdrum|NN000450|Scotland|19|2002|2022|UKBMS|56.5543|-5.2557|-2.667|5.454
Cavenham Heath|TL754725|England|20|2003|2023|UKBMS|52.3226|0.5722|5.261|3.122
Wootton Coppice|SZ247995|England|18|2004|2023|UKBMS|50.7945|-1.6509|0.577|1.266
Tentsmuir Point North Revised|NO499276|Scotland|19|2005|2023|UKBMS|56.4379|-2.8141|-2.549|1.159
Morton Lochs|NO463268|Scotland|19|2004|2023|UKBMS|56.4303|-2.8723|2.518|-2.059
Tentsmuir Point South Revised|NO500270|Scotland|18|2006|2023|UKBMS|56.4325|-2.8124|-1.997|1.177
Porton Down|SU247367|England|28|1994|2023|UKBMS|51.1291|-1.6484|3.159|3.446
Moor House|NY751332|England|31|1993|2023|UKBMS|54.6932|-2.3878|-0.678|2.430
Wytham|SP464096|England|31|1993|2023|UKBMS|51.7831|-1.3288|6.740|1.015
North Wyke|SX660985|England|30|1993|2023|UKBMS|50.7706|-3.9017|-0.048|5.804
Alice Holt|SU801399|England|30|1994|2023|UKBMS|51.1528|-0.8561|-1.016|-2.679
Stockbridge Down|SU382348|England|38|1983|2023|UKBMS|51.1112|-1.4557|3.730|3.615
Ashford Hangers 1|SU742268|England|24|1987|2023|UKBMS|51.0358|-0.9431|-1.536|-0.779
Badminston Common|SU460020|England|25|1993|2023|UKBMS|50.8157|-1.3484|-0.379|2.950
Beacon Hill|SU603227|England|43|1980|2023|UKBMS|51.0005|-1.1420|3.279|2.794
Bentley Station Meadow|SU794430|England|31|1993|2023|UKBMS|51.1807|-0.8654|-1.095|-1.977
Bonchurch Down|SZ5733678652|England|31|1993|2023|UKBMS|50.6048|-1.1911|0.092|5.444
Claylands|SU547181|England|28|1996|2023|UKBMS|50.9597|-1.2225|1.792|0.811
Farlington Marshes Route A|SU688047|England|26|1993|2023|UKBMS|50.8377|-1.0243|6.552|4.257
Lower Test Marshes|SU364149|England|33|1991|2023|UKBMS|50.9324|-1.4834|5.260|4.142
Magdalen Hill Down|SU503292|England|34|1990|2023|UKBMS|51.0599|-1.2836|2.509|2.085
Magdalen Hill Down extension|SU515292|England|28|1996|2023|UKBMS|51.0598|-1.2665|6.590|4.072
Martin Down Kitts Grave|SU034203|England|39|1985|2023|UKBMS|50.9821|-1.9529|1.023|-2.594
Martin Down North|SU045190|England|42|1982|2023|UKBMS|50.9704|-1.9373|3.967|3.786
Noar Hill|SU741320|England|41|1983|2023|UKBMS|51.0825|-0.9435|1.820|1.356
Pamber Forest|SU615610|England|40|1984|2023|UKBMS|51.3448|-1.1184|1.388|-1.786
Swanwick NR|SU507099|England|27|1994|2023|UKBMS|50.8864|-1.2806|0.862|-2.473
Lower Test - Testwood Park House|SU358145|England|32|1992|2023|UKBMS|50.9288|-1.4920|7.478|4.550
Coombe Bottom & St Boniface Down (Ventnor)|SZ558779|England|35|1989|2023|UKBMS|50.5982|-1.2130|1.693|5.045
Newton - Walters Copse|SZ432905|England|28|1996|2023|UKBMS|50.7125|-1.3895|-0.786|-2.140
West Down (Chilbolton)|SU385392|England|34|1988|2023|UKBMS|51.1508|-1.4509|1.725|-1.996
Winnall Moors|SU488305|England|30|1987|2023|UKBMS|51.0718|-1.3049|2.409|2.326
Yew Hill|SU454265|England|34|1990|2023|UKBMS|51.0361|-1.3539|3.578|3.758
Botley Wood 1|SU545100|England|29|1995|2023|UKBMS|50.8869|-1.2266|0.361|-2.709
Catherington Down|SU692144|England|29|1995|2023|UKBMS|50.9249|-1.0168|2.636|1.406
Crabtree|SU663519|England|25|1999|2023|UKBMS|51.2624|-1.0512|1.017|-3.213
Crab Wood|SU438295|England|26|1986|2023|UKBMS|51.0632|-1.3763|0.314|-2.568
Firestone Copse|SZ555908|England|33|1988|2023|UKBMS|50.7142|-1.2153|-1.494|-1.991
The Gillies|SU572059|England|31|1993|2023|UKBMS|50.8498|-1.1888|0.324|0.366
Leckford-A|SU368366|England|25|1988|2023|UKBMS|51.1275|-1.4755|5.882|3.465
Leckford-J|SU382357|England|30|1989|2023|UKBMS|51.1193|-1.4556|9.959|2.410
Pignal Inclosure|SU315040|England|26|1998|2023|UKBMS|50.8347|-1.5541|-1.934|0.947
Wick Wood|SU759357|England|28|1995|2023|UKBMS|51.1156|-0.9170|-1.711|-2.641
Farlington Marshes Route B|SU688052|England|23|1993|2022|UKBMS|50.8422|-1.0242|3.713|0.112
Farlington Marshes Route C|SU679045|England|24|1993|2023|UKBMS|50.8361|-1.0371|-1.202|-0.656
Bartley Heath New 1|SU726534|England|28|1996|2023|UKBMS|51.2751|-0.9606|2.374|-2.126
Roydon Woods - Southern Fields|SZ317996|England|23|2000|2023|UKBMS|50.7951|-1.5516|0.592|1.097
The Dongas|SU490276|England|14|1997|2023|UKBMS|51.0457|-1.3024|2.434|1.494
Hamble Common|SU482061|England|22|2001|2022|UKBMS|50.8524|-1.3166|-0.856|-1.169
Peartree Green|SU438118|England|8|2003|2023|UKBMS|50.9040|-1.3785|5.513|1.296
Broughton Down 2|SU290330|England|18|2004|2023|UKBMS|51.0956|-1.5873|-1.108|4.036
Dell Piece West|SU701126|England|16|2002|2023|UKBMS|50.9086|-1.0043|2.182|1.189
Windmill Hill, Chalton|SU712147|England|19|2003|2023|UKBMS|50.9274|-0.9883|6.933|4.146
Parsonage Field|SU694144|England|19|2003|2023|UKBMS|50.9249|-1.0140|0.674|1.164
Heald Brow NT|SD468739|England|27|1996|2023|UKBMS|54.1581|-2.8162|1.062|0.564
Heathwaite NT|SD448768|England|31|1993|2023|UKBMS|54.1840|-2.8473|0.201|-0.050
Jack Scout NT|SD459736|England|29|1994|2023|UKBMS|54.1554|-2.8299|-2.267|5.229
Latterbarrow CWT|SD440828|England|26|1996|2023|UKBMS|54.2378|-2.8607|0.696|-0.077
Warton Crag RSPB|SD488731|England|33|1990|2023|UKBMS|54.1512|-2.7854|0.061|-1.848
Whitbarrow - Howe Ridding pNNR|SD435880|England|27|1996|2022|UKBMS|54.2845|-2.8694|-0.243|-0.547
Whitbarrow NNR - Wakebarrow|SD450870|England|23|1996|2023|UKBMS|54.2757|-2.8461|0.168|-0.806
Whitbarrow NNR - Hervey CWT|SD441862|England|25|1995|2023|UKBMS|54.2684|-2.8598|0.079|-0.583
Arnside Knott NT|SD453776|England|31|1991|2023|UKBMS|54.1912|-2.8398|-0.430|1.012
Barkbooth Lot (CWT)|SD417907|England|23|1993|2023|UKBMS|54.3086|-2.8975|-0.827|0.381
Brigsteer Park Wood (NT)|SD486880|England|26|1992|2023|UKBMS|54.2850|-2.7910|-0.300|-1.580
Dick Fell|SD473797|England|24|1996|2023|UKBMS|54.2103|-2.8095|1.595|0.842
Eaves Wood NT|SD465763|England|32|1991|2023|UKBMS|54.1797|-2.8212|-1.566|0.417
Flash Bank Wood NT|SD489880|England|25|1992|2023|UKBMS|54.2851|-2.7864|1.327|1.172
Waitby Greenriggs|NY760083|England|16|1998|2023|UKBMS|54.4695|-2.3718|3.318|3.895
Field of Dreams|SD473750|England|22|2002|2023|UKBMS|54.1681|-2.8087|-0.424|-0.330
Holme Park Fell|SD539792|England|21|2002|2022|UKBMS|54.2065|-2.7083|1.735|-0.493
Yealand Hall Allotment|SD490764|England|22|2002|2023|UKBMS|54.1808|-2.7829|0.621|0.067
Coldwell Parrock|SD480778|England|22|2002|2023|UKBMS|54.1933|-2.7985|1.646|0.295
Lancelot Clark Storth|SD546772|England|26|1995|2023|UKBMS|54.1885|-2.6972|0.761|-1.107
Gait Barrows NNR (Warden's)|SD483774|England|31|1993|2023|UKBMS|54.1897|-2.7938|-0.014|0.507
Teddy Heights|SD475792|England|21|1998|2023|UKBMS|54.2058|-2.8064|0.059|-1.474
Burton Fell|SD545778|England|20|2002|2023|UKBMS|54.1939|-2.6989|-0.116|-0.274
Dobshall Wood|SD450780|England|17|2006|2023|UKBMS|54.1948|-2.8445|0.008|3.882
Witherslack Hall Woods|SD435868|England|14|2007|2023|UKBMS|54.2737|-2.8691|0.692|-1.549
Trowbarrow Quarry - New (2010)|SD480758|England|14|2010|2023|UKBMS|54.1753|-2.7981|0.495|0.226
Middlebarrow Wood|SD464769|England|14|2010|2023|UKBMS|54.1851|-2.8228|-0.657|-1.826
Warton Crag LWT2|SD491731|England|8|2011|2023|UKBMS|54.1512|-2.7808|-0.882|0.492
Ainsdale Sand Dunes NNR|SD288106|England|11|2013|2023|UKBMS|53.5871|-3.0770|0.188|-0.228
Myers Allotment Two|SD474750|England|11|2013|2023|UKBMS|54.1681|-2.8072|-0.756|-1.333
Hartsop Dodd|NY413115|England|10|2013|2023|UKBMS|54.4954|-2.9078|-0.221|2.332
Smardale Gill Extension|NY734081|England|10|2014|2023|UKBMS|54.4676|-2.4119|4.242|1.212
Halecat|SD431833|England|10|2014|2023|UKBMS|54.2422|-2.8746|0.636|-1.187
Heysham Nature Reserve|SD406600|England|7|2015|2023|UKBMS|54.0325|-2.9084|0.348|-0.574
Crosby Coastguard Station|SD298008|England|7|2017|2023|UKBMS|53.4992|-3.0597|-0.194|5.963
Brockholes NR|SD587307|England|6|2017|2023|UKBMS|53.7710|-2.6281|-2.109|4.658
Dove Stone East|SE019037|England|4|2017|2022|UKBMS|53.5300|-1.9728|3.035|3.370
Dove Stone West|SE019047|England|4|2017|2022|UKBMS|53.5389|-1.9728|0.141|-0.257
St Annes LNR|SD310306|England|6|2018|2023|UKBMS|53.7672|-3.0483|0.556|4.308
Coldwell Meadows|SD348478|England|2|2019|2022|UKBMS|53.9222|-2.9943|6.781|-0.051
Ainsdale NNR specific species|SD302112|England|5|2019|2023|UKBMS|53.5927|-3.0560|1.324|-0.656
Cabin Hill / Ravenmeols|SD283054|England|3|2021|2023|UKBMS|53.5403|-3.0834|1.808|1.878
Duddon Mosses National Nature Reserve|SD223851|England|3|2021|2023|UKBMS|54.2556|-3.1942|-0.675|1.877
Heathwaite Moss|SD242876|England|3|2021|2023|UKBMS|54.2784|-3.1657|-0.982|2.619
Warton Crag LNR (Upper)|SD493727|England|2|2022|2023|UKBMS|54.1476|-2.7777|0.339|-1.247
Dunstable Downs|TL007201|England|20|1993|2023|UKBMS|51.8704|-0.5388|2.281|1.192
Hill Rise|TL046510|England|18|1994|2023|UKBMS|52.1474|-0.4727|0.690|5.436
Priory Country Park|TL075493|England|26|1993|2023|UKBMS|52.1316|-0.4309|6.082|2.216
Sharpenhoe Clappers|TL066297|England|32|1989|2023|UKBMS|51.9556|-0.4502|2.391|-2.121
Whipsnade Downs|TL000185|England|28|1987|2023|UKBMS|51.8561|-0.5494|3.933|0.948
Old Warden Tunnel|TL112447|England|18|2006|2023|UKBMS|52.0895|-0.3784|10.638|1.675
Bedford Old Cemetery|TL050512|England|7|2006|2022|UKBMS|52.1491|-0.4668|4.782|0.935
Knocking hoe|TL131307|England|9|2013|2023|UKBMS|51.9633|-0.3553|4.298|3.847
Ring Haw|TL053973|England|10|2014|2023|UKBMS|52.5634|-0.4480|0.981|2.243
Mowsbury Hillfort|TL065532|England|10|2014|2023|UKBMS|52.1668|-0.4443|4.091|3.425
Whitestones Twywell Hills & Dales|SP939775|England|7|2016|2023|UKBMS|52.3875|-0.6217|1.436|0.804
Bucknell Woods|SP658448|England|8|2016|2023|UKBMS|52.0976|-1.0409|2.127|-2.684
Wellingborough|SP903674|England|5|2017|2022|UKBMS|52.2973|-0.6773|1.492|5.429
Nene Wetlands Nature Reserve|SP939679|England|5|2018|2023|UKBMS|52.3012|-0.6244|-0.104|5.836
Salcey Forest North|SP809520|England|3|2020|2022|UKBMS|52.1604|-0.8188|-2.001|0.722
Salcey Forest South|SP805505|England|3|2020|2022|UKBMS|52.1469|-0.8250|0.975|-2.420
Stanwick Lakes|SP967714|England|2|2022|2023|UKBMS|52.3322|-0.5823|-2.836|5.439
Fermyn Woods Country Park|SP954850|England|2|2022|2023|UKBMS|52.4546|-0.5975|1.330|0.402
Old Sulehay including Stonepit Quarry|TL057979|England|2|2022|2023|UKBMS|52.5687|-0.4419|1.192|0.595
RSPB The Lodge|TL191484|England|2|2022|2023|UKBMS|52.1211|-0.2618|-0.084|2.721
Weldon Woodland Park|SP922891|England|2|2022|2023|UKBMS|52.4920|-0.6435|4.647|3.896
Grendon & Doddershall Woods|SP700210|England|29|1995|2023|UKBMS|51.8832|-0.9844|-0.165|-2.763
College Lake|SP935139|England|23|2001|2023|UKBMS|51.8159|-0.6450|1.133|-1.339
Aston Clinton Ragpits|SP888108|England|28|1996|2023|UKBMS|51.7888|-0.7140|0.245|-0.117
Finemere Wood|SP722216|England|29|1994|2022|UKBMS|51.8883|-0.9523|0.270|-1.170
Coombe Hill|SP846065|England|29|1994|2023|UKBMS|51.7508|-0.7759|4.992|4.094
Bowdown (Baynes/Bomb Site)|SU508650|England|37|1986|2023|UKBMS|51.3818|-1.2714|-0.310|-1.523
Aston Upthorpe Downs|SU545837|England|31|1993|2023|UKBMS|51.5496|-1.2154|-0.400|-0.057
M40 Compensation Area|SP629102|England|33|1991|2023|UKBMS|51.7869|-1.0895|1.612|1.941
Burnham Beeches (New walk)|SU949848|England|30|1992|2023|UKBMS|51.5541|-0.6326|1.414|-2.471
Crong|SP904088|England|22|2001|2023|UKBMS|51.7706|-0.6913|1.733|0.864
Moor Copse Nature Reserve|SU637741|England|22|2001|2022|UKBMS|51.4623|-1.0845|1.848|-1.072
Lardon Chase|SU587809|England|27|1997|2023|UKBMS|51.5240|-1.1553|3.642|3.552
Dancersend|SP900095|England|23|2001|2023|UKBMS|51.7769|-0.6969|1.813|1.167
Carrinton's New Farm|SU884900|England|21|2003|2023|UKBMS|51.6019|-0.7250|8.975|0.278
Brush Hill, Princes Risborough|SP821034|England|18|2004|2023|UKBMS|51.7233|-0.8128|2.625|-0.241
College Lake New 2003|SP929147|England|23|2001|2023|UKBMS|51.8232|-0.6535|2.888|3.009
Hosehill LNR|SU649697|England|15|2005|2023|UKBMS|51.4226|-1.0680|-2.743|5.317
Ardley Quarry|SP536273|England|21|2003|2023|UKBMS|51.9416|-1.2217|1.238|-1.609
Hartslock|SU618795|England|21|2003|2023|UKBMS|51.5111|-1.1109|9.806|1.997
Severn Barrows|SU329828|England|21|2003|2023|UKBMS|51.5431|-1.5270|3.144|3.503
Decoy Heath|SU615635|England|22|2002|2023|UKBMS|51.3672|-1.1180|0.417|5.576
Hurley|SU812821|England|22|2002|2023|UKBMS|51.5320|-0.8308|6.941|4.342
Wildmoor Heath|SU843630|England|25|1998|2023|UKBMS|51.3598|-0.7906|2.446|-1.270
Brill Common|SP653143|England|18|2003|2023|UKBMS|51.8235|-1.0539|0.349|3.765
Prestwood Nature|SU866991|England|18|2006|2023|UKBMS|51.6840|-0.7488|1.593|0.719
Holtspur Bottom Reserve|SU917904|England|17|2007|2023|UKBMS|51.6050|-0.6773|4.023|3.593
Homefield Wood|SU812867|England|17|2007|2023|UKBMS|51.5733|-0.8297|-2.423|0.908
Oakley Hill|SU758995|England|19|2005|2023|UKBMS|51.6891|-0.9049|2.185|1.464
Warburg 1 (central)|SU719880|England|26|1998|2023|UKBMS|51.5863|-0.9636|1.123|0.979
Watts Bank|SU329772|England|18|2006|2023|UKBMS|51.4928|-1.5275|9.119|0.773
Hartslock Extension|SU620793|England|15|2008|2022|UKBMS|51.5092|-1.1080|3.669|3.315
Moor Copse Extension|SU638737|England|15|2008|2022|UKBMS|51.4587|-1.0831|3.526|1.521
Rushbeds Wood|SP672154|England|16|2007|2022|UKBMS|51.8332|-1.0262|-1.004|-2.356
Sydlings Copse|SP553094|England|16|2008|2023|UKBMS|51.7805|-1.1998|-0.467|-3.412
Greenham Common 2|SU495648|England|14|2008|2023|UKBMS|51.3801|-1.2901|0.719|4.386
Sands Bank|SU833933|England|13|2006|2023|UKBMS|51.6324|-0.7979|0.046|5.902
Ewelme Watercress Beds LNR|SU640917|England|15|2009|2023|UKBMS|51.6205|-1.0770|5.128|0.892
Dancers End Extension|SP896096|England|20|2004|2023|UKBMS|51.7779|-0.7027|4.207|3.550
Little Linford Wood|SP831453|England|15|2009|2023|UKBMS|52.0998|-0.7882|-0.656|-2.173
Hook Norton|SP360322|England|15|2009|2023|UKBMS|51.9871|-1.4772|0.552|-3.006
Glyme Valley|SP334260|England|15|2009|2023|UKBMS|51.9315|-1.5156|1.336|-0.104
Paizes Wood|SU586638|England|13|2010|2023|UKBMS|51.3702|-1.1596|-0.731|-1.497
Chilswell Valley|SP502038|England|13|2009|2023|UKBMS|51.7307|-1.2745|7.319|1.595
Maidenhead Thicket|SU851811|England|7|2012|2022|UKBMS|51.5224|-0.7748|0.085|-3.262
Wallingford Castle Meadows|SU610898|England|9|2013|2023|UKBMS|51.6037|-1.1206|4.873|1.253
Crowmarsh Riverside Meadows|SU611892|England|11|2013|2023|UKBMS|51.5983|-1.1193|7.288|4.742
Mowbray Fields|SU522887|England|8|2013|2023|UKBMS|51.5947|-1.2478|4.054|2.993
Cliveden|SU912853|England|7|2014|2023|UKBMS|51.5592|-0.6858|0.341|-1.625
Bacombe Hill|SP861072|England|10|2014|2023|UKBMS|51.7569|-0.7540|2.313|1.479
Grangelands|SP828048|England|10|2014|2023|UKBMS|51.7358|-0.8024|1.557|1.225
Swains wood|SU738921|England|4|2014|2023|UKBMS|51.6229|-0.9353|0.787|0.001
The Rifle Range|SP829052|England|10|2014|2023|UKBMS|51.7394|-0.8008|1.999|1.425
Cissbury Ring|TQ140080|England|29|1995|2023|UKBMS|50.8603|-0.3816|1.660|0.081
Deep Dean|TQ540025|England|23|1998|2023|UKBMS|50.8016|0.1841|4.269|3.735
Levin Down|SU885137|England|34|1990|2023|UKBMS|50.9160|-0.7424|-0.887|-0.899
Harting Down|SU796182|England|29|1989|2022|UKBMS|50.9577|-0.8680|0.877|-1.120
Bevendean A|TQ338068|England|25|1997|2023|UKBMS|50.8453|-0.1009|6.167|4.169
Bevendean B|TQ335065|England|24|1998|2023|UKBMS|50.8426|-0.1052|0.233|4.817
Bevendean C|TQ343066|England|23|1997|2022|UKBMS|50.8433|-0.0938|0.962|-2.123
Malling Down|TQ428107|England|40|1984|2023|UKBMS|50.8782|0.0284|2.036|-1.161
Loder Valley 1 (Ardingley Reservoir 1)|TQ342305|England|33|1991|2023|UKBMS|51.0582|-0.0865|0.288|5.985
Loder Valley 2 (Ardingley Reservoir 2)|TQ335302|England|23|2001|2023|UKBMS|51.0556|-0.0965|-1.043|-2.030
Arlington Reservoir|TQ534074|England|23|2001|2023|UKBMS|50.8458|0.1776|-2.743|5.446
Beacon Hill, Sussex|TQ364028|England|22|2001|2023|UKBMS|50.8087|-0.0654|3.652|3.635
Ashpark Wood|SU995317|England|21|2003|2023|UKBMS|51.0760|-0.5811|-0.931|-2.958
Kingspark Wood|SU985306|England|21|2003|2023|UKBMS|51.0663|-0.5956|-2.448|0.949
Crowlink|TV545974|England|20|2003|2022|UKBMS|50.7556|0.1890|6.335|4.296
Burton & Chingford Ponds LNR|SU973174|England|17|2004|2023|UKBMS|50.9478|-0.6163|-2.690|5.359
Smugglers|TQ473295|England|13|2004|2023|UKBMS|51.0460|0.0999|-0.120|0.831
Black Cap|TQ378125|England|17|2005|2023|UKBMS|50.8955|-0.0419|0.894|-0.260
Anchor Bottom|TQ202094|England|16|2004|2023|UKBMS|50.8716|-0.2931|9.130|0.859
