name|grid|country|nyrs|first|last|type|lat|lon|x|y|p_ukbms
Pamber Forest|SU615610|England|40|1984|2023|UKBMS|51.3448|-1.1184|1.388|-1.786|0.9118
Swanwick NR|SU507099|England|27|1994|2023|UKBMS|50.8864|-1.2806|0.862|-2.473|0.8893
Lower Test - Testwood Park House|SU358145|England|32|1992|2023|UKBMS|50.9288|-1.4920|7.478|4.550|0.5015
Coombe Bottom & St Boniface Down (Ventnor)|SZ558779|England|35|1989|2023|UKBMS|50.5982|-1.2130|1.693|5.045|0.4260
Newton - Walters Copse|SZ432905|England|28|1996|2023|UKBMS|50.7125|-1.3895|-0.786|-2.140|0.9146
West Down (Chilbolton)|SU385392|England|34|1988|2023|UKBMS|51.1508|-1.4509|1.725|-1.996|0.9357
Winnall Moors|SU488305|England|30|1987|2023|UKBMS|51.0718|-1.3049|2.409|2.326|0.7940
Yew Hill|SU454265|England|34|1990|2023|UKBMS|51.0361|-1.3539|3.578|3.758|0.5966
Botley Wood 1|SU545100|England|29|1995|2023|UKBMS|50.8869|-1.2266|0.361|-2.709|0.9333
Catherington Down|SU692144|England|29|1995|2023|UKBMS|50.9249|-1.0168|2.636|1.406|0.8958
Crabtree|SU663519|England|25|1999|2023|UKBMS|51.2624|-1.0512|1.017|-3.213|0.9087
Crab Wood|SU438295|England|26|1986|2023|UKBMS|51.0632|-1.3763|0.314|-2.568|0.8751
Firestone Copse|SZ555908|England|33|1988|2023|UKBMS|50.7142|-1.2153|-1.494|-1.991|0.6721
The Gillies|SU572059|England|31|1993|2023|UKBMS|50.8498|-1.1888|0.324|0.366|0.9539
Leckford-A|SU368366|England|25|1988|2023|UKBMS|51.1275|-1.4755|5.882|3.465|0.8094
Leckford-J|SU382357|England|30|1989|2023|UKBMS|51.1193|-1.4556|9.959|2.410|0.3262
Pignal Inclosure|SU315040|England|26|1998|2023|UKBMS|50.8347|-1.5541|-1.934|0.947|0.7794
Wick Wood|SU759357|England|28|1995|2023|UKBMS|51.1156|-0.9170|-1.711|-2.641|0.6059
Farlington Marshes Route B|SU688052|England|23|1993|2022|UKBMS|50.8422|-1.0242|3.713|0.112|0.8882
Farlington Marshes Route C|SU679045|England|24|1993|2023|UKBMS|50.8361|-1.0371|-1.202|-0.656|0.5808
Bartley Heath New 1|SU726534|England|28|1996|2023|UKBMS|51.2751|-0.9606|2.374|-2.126|0.8065
Roydon Woods - Southern Fields|SZ317996|England|23|2000|2023|UKBMS|50.7951|-1.5516|0.592|1.097|0.8799
The Dongas|SU490276|England|14|1997|2023|UKBMS|51.0457|-1.3024|2.434|1.494|0.9158
Hamble Common|SU482061|England|22|2001|2022|UKBMS|50.8524|-1.3166|-0.856|-1.169|0.9837
Peartree Green|SU438118|England|8|2003|2023|UKBMS|50.9040|-1.3785|5.513|1.296|0.5051
Broughton Down 2|SU290330|England|18|2004|2023|UKBMS|51.0956|-1.5873|-1.108|4.036|0.9219
Dell Piece West|SU701126|England|16|2002|2023|UKBMS|50.9086|-1.0043|2.182|1.189|0.8598
Windmill Hill, Chalton|SU712147|England|19|2003|2023|UKBMS|50.9274|-0.9883|6.933|4.146|0.2711
Parsonage Field|SU694144|England|19|2003|2023|UKBMS|50.9249|-1.0140|0.674|1.164|0.1420
Heald Brow NT|SD468739|England|27|1996|2023|UKBMS|54.1581|-2.8162|1.062|0.564|0.9596
Heathwaite NT|SD448768|England|31|1993|2023|UKBMS|54.1840|-2.8473|0.201|-0.050|0.9747
Jack Scout NT|SD459736|England|29|1994|2023|UKBMS|54.1554|-2.8299|-2.267|5.229|0.9690
Latterbarrow CWT|SD440828|England|26|1996|2023|UKBMS|54.2378|-2.8607|0.696|-0.077|0.9703
Warton Crag RSPB|SD488731|England|33|1990|2023|UKBMS|54.1512|-2.7854|0.061|-1.848|0.9130
Whitbarrow - Howe Ridding pNNR|SD435880|England|27|1996|2022|UKBMS|54.2845|-2.8694|-0.243|-0.547|0.9490
Whitbarrow NNR - Wakebarrow|SD450870|England|23|1996|2023|UKBMS|54.2757|-2.8461|0.168|-0.806|0.9802
Whitbarrow NNR - Hervey CWT|SD441862|England|25|1995|2023|UKBMS|54.2684|-2.8598|0.079|-0.583|0.9536
Arnside Knott NT|SD453776|England|31|1991|2023|UKBMS|54.1912|-2.8398|-0.430|1.012|0.8464
Barkbooth Lot (CWT)|SD417907|England|23|1993|2023|UKBMS|54.3086|-2.8975|-0.827|0.381|0.6814
Brigsteer Park Wood (NT)|SD486880|England|26|1992|2023|UKBMS|54.2850|-2.7910|-0.300|-1.580|0.9674
Dick Fell|SD473797|England|24|1996|2023|UKBMS|54.2103|-2.8095|1.595|0.842|0.7921
Eaves Wood NT|SD465763|England|32|1991|2023|UKBMS|54.1797|-2.8212|-1.566|0.417|0.9400
Flash Bank Wood NT|SD489880|England|25|1992|2023|UKBMS|54.2851|-2.7864|1.327|1.172|0.9328
Waitby Greenriggs|NY760083|England|16|1998|2023|UKBMS|54.4695|-2.3718|3.318|3.895|0.5095
Field of Dreams|SD473750|England|22|2002|2023|UKBMS|54.1681|-2.8087|-0.424|-0.330|0.9054
Holme Park Fell|SD539792|England|21|2002|2022|UKBMS|54.2065|-2.7083|1.735|-0.493|0.9340
Yealand Hall Allotment|SD490764|England|22|2002|2023|UKBMS|54.1808|-2.7829|0.621|0.067|0.8904
